"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","HRWKD","TOT","HR_WKD","A","1991",1554.1,
"DEU","HRWKD","TOT","HR_WKD","A","1992",1565.1,
"DEU","HRWKD","TOT","HR_WKD","A","1993",1540.2,
"DEU","HRWKD","TOT","HR_WKD","A","1994",1536.6,
"DEU","HRWKD","TOT","HR_WKD","A","1995",1530.6,
"DEU","HRWKD","TOT","HR_WKD","A","1996",1516.8,
"DEU","HRWKD","TOT","HR_WKD","A","1997",1507.7,
"DEU","HRWKD","TOT","HR_WKD","A","1998",1504.5,
"DEU","HRWKD","TOT","HR_WKD","A","1999",1491.5,
"DEU","HRWKD","TOT","HR_WKD","A","2000",1465.9,
"DEU","HRWKD","TOT","HR_WKD","A","2001",1458.2,
"DEU","HRWKD","TOT","HR_WKD","A","2002",1448.9,
"DEU","HRWKD","TOT","HR_WKD","A","2003",1443.4,
"DEU","HRWKD","TOT","HR_WKD","A","2004",1442.6,
"DEU","HRWKD","TOT","HR_WKD","A","2005",1432.4,
"DEU","HRWKD","TOT","HR_WKD","A","2006",1453.2,
"DEU","HRWKD","TOT","HR_WKD","A","2007",1454.1,
"DEU","HRWKD","TOT","HR_WKD","A","2008",1447.3,
"DEU","HRWKD","TOT","HR_WKD","A","2009",1405,
"DEU","HRWKD","TOT","HR_WKD","A","2010",1425.7,
"DEU","HRWKD","TOT","HR_WKD","A","2011",1426.9,
"DEU","HRWKD","TOT","HR_WKD","A","2012",1408,
"DEU","HRWKD","TOT","HR_WKD","A","2013",1396.5,
"DEU","HRWKD","TOT","HR_WKD","A","2014",1400.4,
"DEU","HRWKD","TOT","HR_WKD","A","2015",1401,
"DEU","HRWKD","TOT","HR_WKD","A","2016",1395.6,
"DEU","HRWKD","TOT","HR_WKD","A","2017",1389.1,
"DEU","HRWKD","TOT","HR_WKD","A","2018",1384.7,
"DEU","HRWKD","TOT","HR_WKD","A","2019",1381.5,
"DEU","HRWKD","TOT","HR_WKD","A","2020",1324.2,
"DEU","HRWKD","TOT","HR_WKD","A","2021",1349.3,
"JPN","HRWKD","TOT","HR_WKD","A","1970",2243,
"JPN","HRWKD","TOT","HR_WKD","A","1971",2239,
"JPN","HRWKD","TOT","HR_WKD","A","1972",2228,
"JPN","HRWKD","TOT","HR_WKD","A","1973",2201,
"JPN","HRWKD","TOT","HR_WKD","A","1974",2137,
"JPN","HRWKD","TOT","HR_WKD","A","1975",2112,
"JPN","HRWKD","TOT","HR_WKD","A","1976",2128,
"JPN","HRWKD","TOT","HR_WKD","A","1977",2129,
"JPN","HRWKD","TOT","HR_WKD","A","1978",2123,
"JPN","HRWKD","TOT","HR_WKD","A","1979",2126,
"JPN","HRWKD","TOT","HR_WKD","A","1980",2121,
"JPN","HRWKD","TOT","HR_WKD","A","1981",2106,
"JPN","HRWKD","TOT","HR_WKD","A","1982",2104,
"JPN","HRWKD","TOT","HR_WKD","A","1983",2095,
"JPN","HRWKD","TOT","HR_WKD","A","1984",2108,
"JPN","HRWKD","TOT","HR_WKD","A","1985",2093,
"JPN","HRWKD","TOT","HR_WKD","A","1986",2097,
"JPN","HRWKD","TOT","HR_WKD","A","1987",2096,
"JPN","HRWKD","TOT","HR_WKD","A","1988",2092,
"JPN","HRWKD","TOT","HR_WKD","A","1989",2070,
"JPN","HRWKD","TOT","HR_WKD","A","1990",2031,
"JPN","HRWKD","TOT","HR_WKD","A","1991",1998,
"JPN","HRWKD","TOT","HR_WKD","A","1992",1965,
"JPN","HRWKD","TOT","HR_WKD","A","1993",1905,
"JPN","HRWKD","TOT","HR_WKD","A","1994",1898,
"JPN","HRWKD","TOT","HR_WKD","A","1995",1883.67163805399,
"JPN","HRWKD","TOT","HR_WKD","A","1996",1892.17383379122,
"JPN","HRWKD","TOT","HR_WKD","A","1997",1864.69458219238,
"JPN","HRWKD","TOT","HR_WKD","A","1998",1841.91828473556,
"JPN","HRWKD","TOT","HR_WKD","A","1999",1810.41293847937,
"JPN","HRWKD","TOT","HR_WKD","A","2000",1821.26608931072,
"JPN","HRWKD","TOT","HR_WKD","A","2001",1808.56843512808,
"JPN","HRWKD","TOT","HR_WKD","A","2002",1798.36403736579,
"JPN","HRWKD","TOT","HR_WKD","A","2003",1798.61597518687,
"JPN","HRWKD","TOT","HR_WKD","A","2004",1785.42755087091,
"JPN","HRWKD","TOT","HR_WKD","A","2005",1776.51190226816,
"JPN","HRWKD","TOT","HR_WKD","A","2006",1785.56153305793,
"JPN","HRWKD","TOT","HR_WKD","A","2007",1784.75017724955,
"JPN","HRWKD","TOT","HR_WKD","A","2008",1771.35159607269,
"JPN","HRWKD","TOT","HR_WKD","A","2009",1713.5176025883,
"JPN","HRWKD","TOT","HR_WKD","A","2010",1732.9111403791,
"JPN","HRWKD","TOT","HR_WKD","A","2011",1728.18618129948,
"JPN","HRWKD","TOT","HR_WKD","A","2012",1745.08814928735,
"JPN","HRWKD","TOT","HR_WKD","A","2013",1733.59358107287,
"JPN","HRWKD","TOT","HR_WKD","A","2014",1729.33012288899,
"JPN","HRWKD","TOT","HR_WKD","A","2015",1719.29363508473,
"JPN","HRWKD","TOT","HR_WKD","A","2016",1713.54373605724,
"JPN","HRWKD","TOT","HR_WKD","A","2017",1708.580314583,
"JPN","HRWKD","TOT","HR_WKD","A","2018",1680.16706755507,
"JPN","HRWKD","TOT","HR_WKD","A","2019",1643.81852049291,
"JPN","HRWKD","TOT","HR_WKD","A","2020",1597.98137890323,
"JPN","HRWKD","TOT","HR_WKD","A","2021",1607,
"GBR","HRWKD","TOT","HR_WKD","A","1970",1775.23275347054,
"GBR","HRWKD","TOT","HR_WKD","A","1971",1740.40629780101,
"GBR","HRWKD","TOT","HR_WKD","A","1972",1709.24578483354,
"GBR","HRWKD","TOT","HR_WKD","A","1973",1760.56898266232,
"GBR","HRWKD","TOT","HR_WKD","A","1974",1724.82604131728,
"GBR","HRWKD","TOT","HR_WKD","A","1975",1720.24361293971,
"GBR","HRWKD","TOT","HR_WKD","A","1976",1704.66335645597,
"GBR","HRWKD","TOT","HR_WKD","A","1977",1687.2501286212,
"GBR","HRWKD","TOT","HR_WKD","A","1978",1668.92041511093,
"GBR","HRWKD","TOT","HR_WKD","A","1979",1661.58852970681,
"GBR","HRWKD","TOT","HR_WKD","A","1980",1619.43018863317,
"GBR","HRWKD","TOT","HR_WKD","A","1981",1567.19050512888,
"GBR","HRWKD","TOT","HR_WKD","A","1982",1580.93779026158,
"GBR","HRWKD","TOT","HR_WKD","A","1983",1568.10699080439,
"GBR","HRWKD","TOT","HR_WKD","A","1984",1582.77076161261,
"GBR","HRWKD","TOT","HR_WKD","A","1985",1613.01478890457,
"GBR","HRWKD","TOT","HR_WKD","A","1986",1615.76424593112,
"GBR","HRWKD","TOT","HR_WKD","A","1987",1605.68290350046,
"GBR","HRWKD","TOT","HR_WKD","A","1988",1642.34233052102,
"GBR","HRWKD","TOT","HR_WKD","A","1989",1631.34450241485,
"GBR","HRWKD","TOT","HR_WKD","A","1990",1617.59721728214,
"GBR","HRWKD","TOT","HR_WKD","A","1991",1614.8477602556,
"GBR","HRWKD","TOT","HR_WKD","A","1992",1582.77076161261,
"GBR","HRWKD","TOT","HR_WKD","A","1993",1577.27184755953,
"GBR","HRWKD","TOT","HR_WKD","A","1994",1586.43670431467,
"GBR","HRWKD","TOT","HR_WKD","A","1995",1586.43670431467,
"GBR","HRWKD","TOT","HR_WKD","A","1996",1586.43670431467,
"GBR","HRWKD","TOT","HR_WKD","A","1997",1586.43670431467,
"GBR","HRWKD","TOT","HR_WKD","A","1998",1581.8542759371,
"GBR","HRWKD","TOT","HR_WKD","A","1999",1572.68941918196,
"GBR","HRWKD","TOT","HR_WKD","A","2000",1558.02564837374,
"GBR","HRWKD","TOT","HR_WKD","A","2001",1562.60807675131,
"GBR","HRWKD","TOT","HR_WKD","A","2002",1543.36187756551,
"GBR","HRWKD","TOT","HR_WKD","A","2003",1534.19702081037,
"GBR","HRWKD","TOT","HR_WKD","A","2004",1533.82364916553,
"GBR","HRWKD","TOT","HR_WKD","A","2005",1544.03614916964,
"GBR","HRWKD","TOT","HR_WKD","A","2006",1536.39004010535,
"GBR","HRWKD","TOT","HR_WKD","A","2007",1541.16885827053,
"GBR","HRWKD","TOT","HR_WKD","A","2008",1524.92087650892,
"GBR","HRWKD","TOT","HR_WKD","A","2009",1516.3190038116,
"GBR","HRWKD","TOT","HR_WKD","A","2010",1507.23924929775,
"GBR","HRWKD","TOT","HR_WKD","A","2011",1515.36324017856,
"GBR","HRWKD","TOT","HR_WKD","A","2012",1531.05414767024,
"GBR","HRWKD","TOT","HR_WKD","A","2013",1533.51824163557,
"GBR","HRWKD","TOT","HR_WKD","A","2014",1542.21877782007,
"GBR","HRWKD","TOT","HR_WKD","A","2015",1525.12738239767,
"GBR","HRWKD","TOT","HR_WKD","A","2016",1541.27530613615,
"GBR","HRWKD","TOT","HR_WKD","A","2017",1535.67959843546,
"GBR","HRWKD","TOT","HR_WKD","A","2018",1536.17570701615,
"GBR","HRWKD","TOT","HR_WKD","A","2019",1537.04327841863,
"GBR","HRWKD","TOT","HR_WKD","A","2020",1363.76723547926,
"GBR","HRWKD","TOT","HR_WKD","A","2021",1497.37546260946,
"USA","HRWKD","TOT","HR_WKD","A","1950",1967.87679289051,
"USA","HRWKD","TOT","HR_WKD","A","1951",1986.5487601824,
"USA","HRWKD","TOT","HR_WKD","A","1952",1988.42339622591,
"USA","HRWKD","TOT","HR_WKD","A","1953",1993.14481464122,
"USA","HRWKD","TOT","HR_WKD","A","1954",1984.11755576478,
"USA","HRWKD","TOT","HR_WKD","A","1955",2003.20062733952,
"USA","HRWKD","TOT","HR_WKD","A","1956",2002.39,
"USA","HRWKD","TOT","HR_WKD","A","1957",1973.322,
"USA","HRWKD","TOT","HR_WKD","A","1958",1947.184,
"USA","HRWKD","TOT","HR_WKD","A","1959",1957.55711654667,
"USA","HRWKD","TOT","HR_WKD","A","1960",1952.19147388992,
"USA","HRWKD","TOT","HR_WKD","A","1961",1941.31106491116,
"USA","HRWKD","TOT","HR_WKD","A","1962",1959.5334516077,
"USA","HRWKD","TOT","HR_WKD","A","1963",1971.94381778428,
"USA","HRWKD","TOT","HR_WKD","A","1964",1975.36292035274,
"USA","HRWKD","TOT","HR_WKD","A","1965",1983.83330340989,
"USA","HRWKD","TOT","HR_WKD","A","1966",1973.71763031248,
"USA","HRWKD","TOT","HR_WKD","A","1967",1950.95219291563,
"USA","HRWKD","TOT","HR_WKD","A","1968",1939.72629279093,
"USA","HRWKD","TOT","HR_WKD","A","1969",1937.55208117623,
"USA","HRWKD","TOT","HR_WKD","A","1970",1906.6601750938,
"USA","HRWKD","TOT","HR_WKD","A","1971",1894.38031712151,
"USA","HRWKD","TOT","HR_WKD","A","1972",1889.8252240717,
"USA","HRWKD","TOT","HR_WKD","A","1973",1890.54156020917,
"USA","HRWKD","TOT","HR_WKD","A","1974",1859.64871890518,
"USA","HRWKD","TOT","HR_WKD","A","1975",1838.80930763197,
"USA","HRWKD","TOT","HR_WKD","A","1976",1840.6584248035,
"USA","HRWKD","TOT","HR_WKD","A","1977",1844.45790322937,
"USA","HRWKD","TOT","HR_WKD","A","1978",1835.82748338729,
"USA","HRWKD","TOT","HR_WKD","A","1979",1833.72416871697,
"USA","HRWKD","TOT","HR_WKD","A","1980",1816.09362765859,
"USA","HRWKD","TOT","HR_WKD","A","1981",1812.33244263063,
"USA","HRWKD","TOT","HR_WKD","A","1982",1803.33408760082,
"USA","HRWKD","TOT","HR_WKD","A","1983",1821.69075052853,
"USA","HRWKD","TOT","HR_WKD","A","1984",1839.05045553816,
"USA","HRWKD","TOT","HR_WKD","A","1985",1837.50025262449,
"USA","HRWKD","TOT","HR_WKD","A","1986",1829.23506978348,
"USA","HRWKD","TOT","HR_WKD","A","1987",1839.02369273155,
"USA","HRWKD","TOT","HR_WKD","A","1988",1837.30489350926,
"USA","HRWKD","TOT","HR_WKD","A","1989",1848.43333845786,
"USA","HRWKD","TOT","HR_WKD","A","1990",1832.50772095248,
"USA","HRWKD","TOT","HR_WKD","A","1991",1823.454,
"USA","HRWKD","TOT","HR_WKD","A","1992",1967.87679289051,
"USA","HRWKD","TOT","HR_WKD","A","1993",1967.87679289051,
"USA","HRWKD","TOT","HR_WKD","A","1994",1839.483,
"USA","HRWKD","TOT","HR_WKD","A","1995",1839.384,
"USA","HRWKD","TOT","HR_WKD","A","1996",1840.446,
"USA","HRWKD","TOT","HR_WKD","A","1997",1842.957,
"USA","HRWKD","TOT","HR_WKD","A","1998",1842.28,
"USA","HRWKD","TOT","HR_WKD","A","1999",1838.804,
