"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","GDPHRWKD","TOT","IDX2015","A","1970",38.829822,
"DEU","GDPHRWKD","TOT","IDX2015","A","1971",40.524461,
"DEU","GDPHRWKD","TOT","IDX2015","A","1972",42.543817,
"DEU","GDPHRWKD","TOT","IDX2015","A","1973",44.713971,
"DEU","GDPHRWKD","TOT","IDX2015","A","1974",46.519149,
"DEU","GDPHRWKD","TOT","IDX2015","A","1975",48.269427,
"DEU","GDPHRWKD","TOT","IDX2015","A","1976",50.519884,
"DEU","GDPHRWKD","TOT","IDX2015","A","1977",52.600347,
"DEU","GDPHRWKD","TOT","IDX2015","A","1978",54.224191,
"DEU","GDPHRWKD","TOT","IDX2015","A","1979",55.776802,
"DEU","GDPHRWKD","TOT","IDX2015","A","1980",56.24638,
"DEU","GDPHRWKD","TOT","IDX2015","A","1981",57.18147,
"DEU","GDPHRWKD","TOT","IDX2015","A","1982",57.773097,
"DEU","GDPHRWKD","TOT","IDX2015","A","1983",59.668651,
"DEU","GDPHRWKD","TOT","IDX2015","A","1984",61.244613,
"DEU","GDPHRWKD","TOT","IDX2015","A","1985",62.65778,
"DEU","GDPHRWKD","TOT","IDX2015","A","1986",63.60719,
"DEU","GDPHRWKD","TOT","IDX2015","A","1987",64.477291,
"DEU","GDPHRWKD","TOT","IDX2015","A","1988",66.140509,
"DEU","GDPHRWKD","TOT","IDX2015","A","1989",68.442245,
"DEU","GDPHRWKD","TOT","IDX2015","A","1990",70.860694,
"DEU","GDPHRWKD","TOT","IDX2015","A","1991",73.324316,
"DEU","GDPHRWKD","TOT","IDX2015","A","1992",75.196027,
"DEU","GDPHRWKD","TOT","IDX2015","A","1993",76.660097,
"DEU","GDPHRWKD","TOT","IDX2015","A","1994",78.64403,
"DEU","GDPHRWKD","TOT","IDX2015","A","1995",79.828601,
"DEU","GDPHRWKD","TOT","IDX2015","A","1996",81.172291,
"DEU","GDPHRWKD","TOT","IDX2015","A","1997",83.161713,
"DEU","GDPHRWKD","TOT","IDX2015","A","1998",84.008588,
"DEU","GDPHRWKD","TOT","IDX2015","A","1999",84.962423,
"DEU","GDPHRWKD","TOT","IDX2015","A","2000",87.068634,
"DEU","GDPHRWKD","TOT","IDX2015","A","2001",89.255258,
"DEU","GDPHRWKD","TOT","IDX2015","A","2002",90.082726,
"DEU","GDPHRWKD","TOT","IDX2015","A","2003",90.775624,
"DEU","GDPHRWKD","TOT","IDX2015","A","2004",91.602335,
"DEU","GDPHRWKD","TOT","IDX2015","A","2005",93.047959,
"DEU","GDPHRWKD","TOT","IDX2015","A","2006",94.536022,
"DEU","GDPHRWKD","TOT","IDX2015","A","2007",95.652946,
